actual.tot,pred.tot,cl.tot,hirem.tot,aj.msep,hirem.msep,cl.msep,mcrps,crps.hirem
110522371.03045,110772402.152606,139413514.302442,128138568.281583,1028495.56960667,983907.59211635,439314.730597565,26651.4147392849,46719.3030790334
108705471.402841,107783349.898398,138943205.79556,126676595.58452,776068.292630279,981238.457784527,1346755.26038427,26514.0745774833,45162.3044641919
108077117.001994,105679089.204518,134558862.865436,125725103.410226,636465.752076007,979371.417727196,685419.340229408,27236.0897002639,50630.6293059955
110868078.231515,105545772.149661,139465105.193763,124421266.838598,602987.715474776,752105.645842113,1732219.20828491,33165.4226082661,47841.4124478247
107364512.128919,105317403.391941,137974621.721882,123816376.339131,616273.071668202,877036.212600221,1404881.10395511,26526.8380940355,46805.9246948195
109247120.396112,109323576.652113,134763152.379518,125118709.204399,916099.734374528,988284.392385234,1618428.15073383,28140.205054307,49918.1796817727
108033991.521412,105987591.556257,132955445.948481,122446556.355538,855741.098677596,914229.196040357,1594944.0389663,32579.5032701313,42991.1835322892
110145299.52362,107706626.473169,136480432.973963,123076425.669729,619119.986468423,732224.273853336,598469.178469917,26206.1123298764,38478.2260921768
107344689.68112,106663512.689948,133556719.660061,121058567.735007,1044817.65774145,789165.578167089,1237154.78420726,28560.0720291136,43079.361501436
108958159.710322,106984055.837203,134885712.656367,125138105.259159,855989.822725641,914526.239044669,1449510.98919639,30313.6327168178,55542.7590287198
106962833.402183,107140327.391574,137173343.801315,125892666.095234,826859.420767853,939586.05330867,1513265.39373865,24518.7651554662,45666.6292454434
106733716.066007,105967621.499937,134917280.901474,123746155.594144,848573.237384607,873609.457958727,1265488.72662666,28243.0434487523,49634.4539699253
107174011.308107,105562451.281223,138518593.497765,121903342.79882,729935.779305109,793954.334338831,1267094.17967295,26910.9371760962,52311.0950398216
109679334.147079,108957045.577569,131149479.79125,123127109.673619,861740.563123798,902948.575633368,1022510.14197556,28211.6077767602,48866.9802956637
108746671.144017,109734515.995079,140134087.879983,126255521.949454,875952.673389137,863337.973839448,1130802.17785172,24121.5877170157,33929.9056117968
108200403.850977,109313965.399758,140101438.482865,128550991.662865,920253.58408112,1035217.3005012,918785.138258093,23919.4008545506,53899.3664563075
107799039.92941,106882553.9046,136214985.766908,123570518.616002,781807.671212518,837973.295791279,854709.950503754,26733.2293933326,50076.3263791439
107220559.870957,106423270.566604,128941581.09866,120272893.474856,899007.849728523,797072.442401166,1427353.1835882,29407.4098280554,53521.5127889099
108656930.639089,107523541.628366,140124011.397763,127367382.180267,725057.178067089,859664.416980402,803946.900379586,24986.1258187149,44894.7521785454
108013327.635939,101663038.091572,133619157.44513,123054760.291845,474726.929955282,900792.616417496,596010.133330843,37041.3536323421,39417.094348925
