actual.tot,pred.tot,cl.tot,variance,cl.msep,mcrps,true.ultimate
2350028851.97855,2282171469.88083,2972902745.80135,220299141317298,24387461.644277,3276931.15149042,2354523046.26031
2366961678.48026,2258240741.72296,2886616953.1703,145991426389666,19566244.5229079,1618940.91765172,2354523046.26031
2305707132.32478,2239013029.06841,2962308341.19323,250845524485282,56877547.4112805,2992312.57226966,2354523046.26031
2314671773.77724,2253779852.60079,2911822394.64081,239588657564695,32075957.9221891,3159601.04055256,2354523046.26031
2366518476.27149,2292681215.48568,2927890387.21653,393310121593753,16965158.7933542,3761330.12444338,2354523046.26031
2351579508.69422,2248333839.12724,2949312229.94301,184229147707696,31037266.8623368,2404467.09122433,2354523046.26031
2324904920.24895,2261570937.23608,3014189810.57869,234684275909742,30165927.4057764,3351189.00927585,2354523046.26031
2330868855.41691,2274357725.15299,3044981872.11363,246462095545307,29009935.7225181,3298123.45189568,2354523046.26031
2376506345.44176,2312877956.08651,2892919334.5458,491428278350638,29899886.4445403,4739126.08377466,2354523046.26031
2361353640.74325,2276144187.13607,2964618290.19439,269730836946572,38971785.4151846,2498761.66833673,2354523046.26031
2445735464.33054,2317280603.65335,2955835322.04777,193344970580884,30808642.6190996,2070816.13278779,2354523046.26031
2362508091.4339,2260815809.98712,2982429078.45687,270391350825077,30308328.5568299,3178129.9433741,2354523046.26031
2336976370.9013,2273585428.14002,2958857905.86185,310730321785048,30506831.0439135,4292877.26462478,2354523046.26031
2375502719.25453,2296085324.85948,3027775677.62907,317092872353469,37517912.6195049,5765500.05243299,2354523046.26031
2390770350.1423,2264869429.73476,2943210983.93529,142980146510415,20615733.8401967,1600257.67754107,2354523046.26031
2332672770.72206,2252355607.16284,2921362709.60208,290783533971054,21715993.359659,4020522.20619075,2354523046.26031
2360400265.34706,2258878264.14896,2960598475.88524,212259596475141,30841929.1633035,2791622.45173073,2354523046.26031
2411241588.23007,2330278525.75361,3083375655.10612,411914513885703,45669038.9304055,5337584.4711829,2354523046.26031
2358965333.69648,2281480125.53216,2992372450.91578,452804841544500,34027529.2187689,4012620.34549588,2354523046.26031
