actual.tot,pred.tot,cl.tot,aj.msep,cl.msep,mcrps
95822050.8227064,97085248.4897138,114308388.262757,821428.668455607,508508.922876862,22941.3722903951
95383909.3759725,96411364.5980037,115236370.626128,802778.79567866,332504.22153078,23290.9769623282
93986524.2327714,94441742.0343608,111516799.580884,752907.474622879,893874.800266052,24080.7559920895
96322698.3329502,97832347.4060204,116091677.296926,961519.811006498,890515.120202702,23291.7567988766
93410230.3479086,96421330.3859657,110898933.464671,1025245.58002533,496870.070798203,20954.3278955224
94958853.7855355,95737519.3979714,111939688.123255,863516.345361618,1591453.3522274,24100.0132997199
93791624.4033212,94816208.2133734,111517436.2505,824653.366294757,552680.278801052,24845.9932731792
94837361.7240144,95906258.9948617,111431728.458793,736215.005127348,166413.067497362,20363.4905914487
94388675.3702379,93521671.1751731,109992587.276211,586317.981793226,1697655.31436689,23883.1678791936
94279720.6095995,95861832.7382656,111421937.573921,946014.693611056,1319568.06506906,23724.2304587097
94353031.7800981,96509053.8625491,112873581.40472,993464.232084396,1875098.55279905,23275.9962293725
93653813.0982934,94185562.9473718,110381469.541137,773965.192468615,1717102.87924417,23722.3162132059
93544189.7393684,94295668.7437833,118540702.800023,717171.284215791,1404199.65516341,23858.4080658857
95601674.4414224,97410738.3805426,111009604.842557,890910.729237552,776594.560375631,24817.4236254511
95059281.5831884,96749954.6079728,115382616.177183,869741.743191582,507258.426401418,23548.6252883908
94108489.7785041,93705881.855704,112831870.510034,579636.166712714,927918.658989308,23806.3313085732
93848173.6156851,94450884.4513606,113432428.595065,758157.745197576,374217.358144273,23218.9662249032
93690760.5271069,95751638.5709548,107424269.640505,1008743.06790461,688895.825805038,26000.7151101302
96714886.5179401,96536727.7723184,114602314.154791,809724.419827199,613395.108000413,26255.6504969416
93847048.0397915,95616013.8111134,110728792.273338,897973.844090519,532968.158035794,23585.6480226344
