actual.tot,pred.tot,cl.tot,variance,cl.msep,mcrps,true.ultimate
460802238.613957,436709437.886307,498404767.431837,14386756302862.4,4757855.05732065,125057.323619645,457054564.395038
455161977.423447,430546979.184447,487706575.421298,13519057914088.9,11208213.0443402,127446.309625352,457054564.395038
460211913.323834,433851134.83892,474857529.776741,14518330696028.3,4490253.21281726,136159.159903255,457054564.395038
460905627.6041,439188004.089403,468692084.058021,19538208235152,4176996.61981723,301274.641064453,457054564.395038
459296475.81241,434836623.192014,494117733.883015,15600314166688.2,7503203.78115828,134881.815625405,457054564.395038
451642864.188969,424255112.146462,489844973.947626,12832611629057.3,3531021.1254866,121658.219292526,457054564.395038
459537486.346031,429402917.450259,498505826.601106,12157706778664,4386677.25404393,91901.4033684848,457054564.395038
459813208.812769,426055540.128708,470663364.732942,12051281347649.4,13932885.1260893,101460.628533282,457054564.395038
462541271.099905,430259487.349166,498228429.019966,11568082901694.3,6537221.12669952,89893.321718902,457054564.395038
456225284.780489,432285422.191375,505824537.476239,14081869019479.6,5645932.57234276,115500.593407549,457054564.395038
459718414.121555,432997006.523885,503382680.100151,14253794725878.2,4744139.9697578,142462.873118557,457054564.395038
455294140.566427,433192984.977936,499123342.048276,14832504643527.9,6491918.84004961,140145.091304457,457054564.395038
460119798.235951,427465725.817252,502602564.82032,13283066074884.6,5601100.77318096,141142.690014236,457054564.395038
453890444.518296,425799139.740017,497218013.054297,12327269798901.6,11282423.2599893,121075.263604583,457054564.395038
446809094.00695,419367014.299259,496691773.721647,12212511432777.1,1587000.35819668,136842.094968368,457054564.395038
461655246.799483,435466729.072595,493355756.607617,13733379843277.5,8061323.6216213,101371.884870364,457054564.395038
459548428.997614,431174151.676872,494124174.129533,12407424526768.1,6021501.96942145,88941.9779718475,457054564.395038
451412931.432288,425413307.623672,489868618.414589,13534326746087.4,9241505.90388607,115855.875745356,457054564.395038
449418819.19942,421391167.360958,480708748.325237,16394308610571.5,3846343.00813601,256548.484070705,457054564.395038
