actual.tot,pred.tot,cl.tot,variance,cl.msep,mcrps,true.ultimate
458140301.695713,429946601.145427,497528143.898032,11114227428565.3,1069228.31798673,68173.8270812323,457054564.395038
459123792.221791,425077640.860267,488400805.167291,10236406493715.6,2675198.43839167,83514.7312334145,457054564.395038
455086845.01736,420563785.632972,489178362.878888,9466574387211.63,1700842.36879403,80351.0206162704,457054564.395038
448146412.811388,362548408.255848,468690600.732908,6000984470.58421,7376163.22516347,171353.357178183,457054564.395038
450104569.570847,422255846.925136,484952547.472153,12272862386055.7,3991018.79214698,82215.1700974467,457054564.395038
459111335.434886,428696886.090503,482125672.806982,12709477137006.4,5476795.05365183,81533.1398276403,457054564.395038
452176033.487668,420117413.770118,512991509.487059,10377204717393.3,5035561.33456727,82942.6379011079,457054564.395038
460731530.897831,430523835.359298,513508840.270743,12523652747174,1974954.14609114,83104.9651382915,457054564.395038
455692328.635435,366337018.537693,497437566.893001,2379035843.33851,1372049.67260494,177470.912161778,457054564.395038
459075662.376931,372128122.619878,505759235.941459,11564770750.0639,2775652.08631215,170328.178334017,457054564.395038
460905627.6041,439188004.089403,468692084.058021,19538208235152,2947929.94569624,79718.7343422488,457054564.395038
459296475.81241,434836623.192014,494117733.883015,15600314166688.2,5180372.08370002,83136.5703285255,457054564.395038
454180169.83499,419538652.259177,505540107.063081,11045320271607.3,3128231.35666512,70468.920116877,457054564.395038
455858567.12194,425438850.115278,497476179.050462,12637369682628.6,13295100.4809345,84532.9290012015,457054564.395038
468554330.026731,438326986.423109,509877263.860902,13274565320176.9,5131666.22435546,86419.9493939813,457054564.395038
448540393.780035,422683349.594017,477322797.312695,10612037194667.2,4909127.91799579,78228.0077892605,457054564.395038
460313066.076885,432004725.408165,496710545.11229,11464296934260.7,4436036.60900169,78129.6747200406,457054564.395038
459537486.346031,429402917.450259,498505826.601106,12157706778664,2881555.5303647,82149.9515359145,457054564.395038
453601248.930662,422698959.811864,498071512.027465,11234515166805.2,3749785.75178858,81451.7120823438,457054564.395038
