actual.tot,pred.tot,cl.tot,hirem.tot,aj.msep,hirem.msep,cl.msep,mcrps,crps.hirem
117995036.36156,114020526.095119,149397852.602408,140246039.068638,856813.141425672,969221.679263381,747871.442533745,30990.815335641,45171.4175810854
115416253.08017,112012994.049453,145384932.263639,135424442.37549,700418.694879205,905578.376857231,817156.033597362,27858.7525464365,57978.836970898
116161435.288485,111870563.498774,143438395.028224,133605094.914376,654974.788822616,940489.604240487,740742.060348869,27319.2871962356,51576.7971138604
117829272.871818,114130918.676493,148194297.489267,138592178.921388,740333.915104097,974390.204973967,1092594.34345568,32468.1502117102,49829.6661473541
114484208.488134,111532271.265091,148630969.628172,133520127.271991,667557.649264219,854401.958872383,1659861.12235878,29294.1483327829,59706.5738312605
117156188.782247,113527193.48323,145920455.58077,138412562.835521,1152569.21130722,1114364.50432427,1367436.51153391,33382.2579945872,57820.1944578254
114540577.219257,110638557.301561,144535355.019379,134208444.499684,723646.973711979,950182.665063754,1348144.41822193,31924.6893531354,53424.6639324286
116758432.919819,113162563.964281,147313336.300969,135120977.736484,715995.7633251,865446.835147487,779980.028405952,31501.0077797829,42938.2520527097
116482477.902198,113632493.36826,144139524.146064,132524691.27898,1115505.37027982,906866.011577137,820969.493194395,34564.0651636909,55792.721198509
115229105.628752,111618281.232122,145245444.876362,134264483.055943,713006.970260386,917499.219077099,1393691.67340919,28273.0538483718,61274.951078596
116558536.969274,111169232.69955,145939767.704522,132750851.329381,640765.078915894,811526.829742235,1250094.91334504,28909.8192538292,56757.7504558011
113935510.942638,110711173.657024,146216445.081278,134251853.054235,773353.220331914,937295.706376945,1042709.38085697,28914.7769427362,45700.5780709867
113576431.030727,109620532.808619,147658142.692042,137048756.048947,625408.830938799,1135563.70291978,1198685.43891856,30065.1358265884,45028.8128165009
117752518.363002,113188806.608765,143214630.441899,135606545.09255,773717.064254859,1017605.84773121,1246819.80168554,29661.0531583779,55018.1201828225
114068564.782103,113096523.005764,147568387.31829,138128145.941285,825213.605524415,988156.680587476,1329757.38714947,24326.0657728934,52221.7513165162
117104994.752169,114090221.332969,149353749.909264,136975275.588798,771148.439463115,935042.591956794,960796.592740239,30279.9513928764,56715.4724328305
118163945.085927,112674345.396587,143962884.466924,134185085.240856,704040.380784251,899690.388812453,1329250.19724732,30695.4632703102,47841.3923441412
116087083.698742,110674094.542747,138271633.041118,135160261.797583,606593.737335359,1147255.48724853,1274684.44908489,29734.8835454985,65421.4787899276
115867210.195126,111389824.51048,146119733.134638,136221163.424408,594984.558476724,879906.129257802,1261869.63226374,26244.9411088551,44977.4369218938
115463753.380602,111930589.900494,142455805.675445,133128445.34281,712114.61741483,927070.459862227,536519.314691812,30234.6502208474,56229.5467688788
