actual.tot,pred.tot,cl.tot,aj.msep,cl.msep,mcrps
32724307.2639795,38443831.3617372,35537724.5641451,302174.136936304,88431.4315809669,24041.8867448723
33106298.4085426,36352826.0381762,36104989.2874459,192836.866061386,445633.956986627,15574.0487870706
32794556.5872708,36243559.0793528,34885771.7976636,214281.7822278,222399.790404072,16768.6553450396
33567602.5879465,40288841.1888926,36834746.4008276,237179.282533835,279833.916021871,22470.6828009351
32506203.2155257,38639799.4853893,34941311.6342063,261004.05492158,173914.922191204,18812.807118699
32860596.8906065,36349318.1562179,35720470.0872983,229768.45034094,691194.404187453,18831.0997768288
32010458.0579563,35360098.3990582,33477900.0523506,221985.353639577,743225.598168046,20145.9001138271
32914445.6152826,37077981.9610057,35600340.5308455,234982.267876317,339846.789808615,18225.2715054594
32150326.3979176,33370329.4938113,34639467.6765823,188644.628166501,429918.948082709,13319.5913273135
32511569.8159605,37257003.8869435,34836183.9586641,257868.760735779,800586.646024298,21236.9509835492
32793666.8167776,38623986.7195199,34437548.0576415,277836.725954887,572005.483058994,19744.326004151
32079385.0737194,36732967.4763881,34067858.500268,250220.927666287,324061.692090122,19042.1667903799
32298288.106262,34558166.0406175,36642250.6776471,209521.797578047,534968.342415888,15233.9969632252
33097624.4289483,34789223.5817834,34264541.4654057,214422.09345337,135400.780083888,17579.61731934
32909395.0641308,37356642.5199539,36679202.8764817,198889.941982097,164958.918688478,17368.07682525
32872279.523131,39974244.3260547,33918394.9840529,263090.168791074,320732.372344094,23410.0924844531
32549452.0453882,37203440.0295207,35531254.7780715,245963.882577066,126668.398219838,22627.9266660301
32243378.6404789,36676988.95041,35668224.867348,241366.56101323,334927.802787051,20172.889278429
32791118.7412093,34861263.5381909,36125659.7101042,204837.436927472,288559.569540668,16010.2397094265
32584586.2235607,36844413.0005682,34487299.903543,238476.711659248,196886.21475486,17161.3998852555
