pred.tot,pred.tot.nf,actual.tot,cl.tot,hirem.tot,var.aj,var.aj.nf,var.hirem,var.cl,crps.aj,crps.nf,crps.hirem
52469666.9075683,51884162.3299665,48611576.5888414,60078544.7809338,50144215.0302186,64344478043.1056,51194693801.5438,10436259867.1033,514053.02849001,825.790039973095,827.969696089987,617.185617781889
53425020.8037397,53105699.1873903,49290676.4088943,60923363.2904931,50360796.1215335,72238012326.9678,65181686357.2855,9914045537.41007,578682.27838013,852.631617133834,854.72409302884,661.698479371634
52458467.4329351,52257348.0072656,49214543.1784929,60862672.9189968,51812363.1103854,43524145779.0267,38762644966.909,11934591271.1976,573542.116762423,838.45880984437,841.177130479335,622.390966336571
51893533.0377701,51722194.7283324,48814471.9616201,59583889.9261717,51225129.9584913,44416722276.0538,38253627528.7087,11468149942.3038,547990.719531535,799.444918178164,799.320562912744,636.136505350726
53295638.6501047,53108410.4884612,48593119.5750262,59793475.1923904,50267861.226972,119762249335.146,130430780041.36,10463136623.266,583730.870604912,836.000615451174,837.094023950199,620.640029219636
51978475.507232,51603396.1344761,48424223.5743387,59536132.694497,50489355.7150947,46127297621.4891,40346241466.4373,10762082686.0338,675286.365278624,806.203572075981,807.189275155498,603.473652384963
52319333.1212242,52191814.7382104,48801702.7610591,59918787.0689921,51021072.1050204,45656499292.5332,43809857081.9452,11025331656.8504,608292.015468618,816.192792505136,817.394272318584,618.385104274663
52388415.12899,52348928.3132919,48859946.6809943,60106447.0813329,49509700.4367346,58992726843.9548,59938636407.3976,9145550047.15039,670731.146059189,831.959186847115,832.347874458653,646.276462804821
51681944.0798361,51350803.0763004,48295752.65239,59489867.4097581,50872053.4625172,50097750824.6133,41459954231.6155,11683064012.9044,627616.031435799,829.533807301665,830.629099466547,592.483366366934
53475963.4666881,52444081.6862709,49209479.0609525,60659927.7951962,51563727.5115292,113954553979.406,61655565258.2787,11721888112.6135,459791.03664506,844.108100954247,846.665107417585,628.762131476197
