actual.tot,pred.tot,cl.tot,variance,cl.msep,mcrps,true.ultimate
609041719.064014,608367506.792077,673893404.804954,22853841340029.5,351974.149599411,153075.306576078,599047873.194483
601295487.713284,600782939.150872,661262516.124698,20609044963322.9,9387748.36304085,148643.191277603,599047873.194483
594183837.173999,597394908.670692,640672657.953709,22459105093681.7,4160514.81131335,133939.500938056,599047873.194483
597865077.687757,603465913.972216,656850779.998352,23693177040360.4,5981277.3335978,143259.401404312,599047873.194483
594068503.368464,592890103.640401,651064959.224333,18928406605794.5,6259558.43121579,143383.984146267,599047873.194483
595339838.666316,599787173.039425,633400638.817015,25002174984872.8,17539497.6844299,138971.860398161,599047873.194483
591492376.745261,593903600.176947,676306865.243986,19769453540317,3649463.59229436,155071.626364553,599047873.194483
601288520.467761,604544396.983334,677126711.828569,24895340610370.6,1801299.77847079,149802.805529748,599047873.194483
601129659.601042,603583652.511906,679197844.164291,21817922665390.7,2790841.93546729,145931.731149076,599047873.194483
609590575.649815,618128275.983939,691498341.406168,26091696131879.8,1788844.29414742,134890.348805487,599047873.194483
599189841.17519,606022630.989549,646466968.663994,23613928267762.5,4137584.23975506,134748.183953155,599047873.194483
589178815.816531,590761088.256243,658058020.693886,21041482633027.3,2798577.39071571,151460.864120286,599047873.194483
593377359.665082,597892445.801521,661850243.746024,25589953796705.5,3181106.51078771,145938.137177098,599047873.194483
588186752.909264,595654577.415617,668234807.578836,23670873230002.7,15842638.5937404,139041.653381936,599047873.194483
609914078.825607,615071573.802961,684951237.54091,23401958319157,679816.071206186,147037.718094322,599047873.194483
590603410.560639,597674906.148685,646481100.455028,22543589081713.6,10492776.9868008,138455.596183891,599047873.194483
598389328.983602,604393187.766208,674587463.638705,22233350635603.4,4826768.45236254,140424.725258335,599047873.194483
600286147.98567,603035443.197374,668287554.347587,27939001692197,901841.852355575,146380.536875718,599047873.194483
606760950.125823,611650461.040947,682212455.948636,24494157286141.5,13925417.022067,155158.055945416,599047873.194483
