actual.tot,pred.tot,cl.tot,aj.msep,cl.msep,mcrps
146876803.248659,144446795.325967,185806421.612585,1019454.87653501,916568.768971454,24669.2910744008
146293478.63349,143634547.921057,183526879.894175,985054.514143072,1062504.62130177,26734.1693176033
147935104.905016,145241369.44946,180413559.573144,1103820.99129568,919553.751802919,25410.2543031056
150799231.967938,146658169.813981,186289492.828705,1010178.87054034,1286551.75365578,27080.5603454666
144106695.770299,141210712.356667,185144271.324577,943758.075048762,2022497.40636543,25742.3344417508
147740081.027259,145092373.173387,185037931.363036,1210223.90285463,1287453.67999422,30932.1039172669
144666985.861078,143613412.676601,181988899.66505,1158697.09748512,1618285.0515282,28046.4524743116
147626191.668321,145361988.307903,187046521.53396,1007921.16176182,778799.157804971,25260.9055526177
147907404.766968,145951202.645562,182993149.201033,1252353.98929047,903161.132182335,26374.214420809
147868089.210039,145456926.736027,184269809.952751,1015850.07132659,1650604.51683818,25419.5732665327
146973719.293389,147765985.246266,184332014.371438,1570459.01945874,1498561.75764003,29623.3201457459
142981892.248636,139587116.387359,183016300.785521,907706.541888017,1388296.08256591,25918.7298110995
145306557.515559,142810032.272431,188386863.161168,984530.147857193,1156315.81028893,25672.0643670958
147392475.528081,144372678.936681,182056006.595733,1075076.37750263,1798289.131605,25733.6604406231
145679303.463557,143388579.890188,190311367.007102,947154.193656198,1161670.32686036,23831.4805681843
144237099.709754,142828683.859665,183865233.844761,963090.879332998,1192124.47356008,24180.7337170334
148531646.59011,145460523.583079,180807458.409113,1169757.00714969,1198413.03774787,26090.3983602331
146237046.371265,142747320.028507,176501743.431955,1074682.46547215,1614816.46674127,27062.1627838077
147584602.546453,143034004.774215,185288643.13715,903544.302554847,1868432.79412241,25070.9642305928
147448827.204229,144452333.310494,179237069.448578,1122625.44756023,820618.005206688,29085.0348287839
