actualtot,pred.tot,cl.tot,variance,crps
2350028851.97855,2322328120.36573,2972902745.80135,390589424069631,3314855.75156301
2366961678.48026,2362649833.02491,2886616953.1703,754046524746207,4633429.41800788
2305707132.32478,2293974723.02977,2962308341.19323,545572782918557,4056890.69810259
2314671773.77724,2315884550.14342,2911822394.64081,556178159538430,4139190.69589474
2366518476.27149,2347453601.87817,2927890387.21653,673075020508238,3879766.68358109
2351579508.69422,2281075184.232,2949312229.94302,295363989630213,2434265.29282177
2324904920.24895,2344086304.10896,3014189810.57869,957137608715497,5672999.77193971
2330868855.41691,2336513517.45566,3044981872.11363,697967267227526,4181229.53047107
2376506345.44176,2357906413.93285,2892919334.5458,767388123543830,4884461.60152382
2361353640.74325,2306548423.83924,2964618290.19439,473889208398464,2819637.29867519
2445735464.33054,2447381724.44941,2955835322.04777,1075101842263060,5620254.96312834
2362508091.4339,2318788786.05798,2982429078.45687,714418053860469,4749674.07122467
2336976370.9013,2347916742.33786,2958857905.86185,729834787292834,5254921.69754974
2375502719.25453,2401229180.95868,3027775677.62907,1223167356883600,6246271.60774355
2390770350.1423,2354018894.76645,2943210983.93529,662192756673734,4122344.61860251
2332672770.72206,2295502358.26661,2921362709.60208,762618485983922,4251780.97922269
2360400265.34706,2310766613.00371,2960598475.88524,504204793067568,3577393.46684066
2411241588.23007,2409818085.50551,3083375655.10612,1031997432846000,5534020.77553692
2358965333.69648,2315436092.96224,2992372450.91579,773046172583455,4052692.70537441
