actual.tot,pred.tot,cl.tot,aj.msep,cl.msep,mcrps
121165360.067633,115721981.396074,157691385.047826,556920.661407164,870207.438412353,25461.1573910967
120827204.548955,115793617.461752,159027811.943173,552544.032109151,952103.47069748,28026.3446950153
116690196.853099,114777909.350408,153634692.043057,700166.528778182,1401097.34207112,26245.2230099965
120144251.369421,115854795.017135,155107591.077346,521022.170674858,908051.036252599,27916.0603282695
117521406.64217,114260578.424987,153732919.431309,597292.801769613,1322860.72189099,25632.9143931451
119195721.090708,116098615.043982,153499480.715791,693605.811487157,1178385.86467801,29493.969133806
117168168.154321,112411099.139131,148445569.377604,718426.292256833,1553583.43319862,30061.119229278
119514235.07011,115447337.018389,151575382.982742,653997.152820522,1271879.52042565,27060.5530703319
121410401.568778,115173391.480209,151682877.449023,724117.231859992,839691.148757663,30354.9859629057
117924953.011784,114498430.875999,152561302.325055,592972.268182848,1409794.61770188,25299.5378625885
121794599.333769,116873946.936257,154573108.656385,821475.074917339,1320620.76404359,30738.1058096177
116337373.276524,113111349.60294,156482796.237883,586579.694700686,957969.354669223,26987.535417828
120873270.099329,112992050.567616,155648666.522861,584616.6204819,1964487.18760936,26135.9905916678
119996679.944636,114889319.291799,153727083.140171,709962.153179496,1507903.33713375,30282.102697073
115647351.671077,114938115.396235,159069957.717805,624121.407716133,1497772.51911186,22459.7601962103
117991723.07201,114402910.798084,155419510.362369,632813.893549009,1090012.00568056,24946.0959242007
117966241.430503,114208822.990939,149908003.080851,543368.984875233,1026677.42804343,23256.1551423969
116551045.611307,115023508.468362,147355816.236794,807089.378822475,1112281.13743951,26210.6846162271
117293013.016743,111542241.104161,156970696.675034,317000.813176582,1144856.63521503,26350.1067180518
116835299.125756,114465624.378436,151431976.169118,673508.120468281,715197.249355485,27685.5909558544
