actual.tot,pred.tot,cl.tot,variance,cl.msep,mcrps,true.ultimate
1983095731.44691,1946511571.83995,2512468384.24312,162259937068959,21539932.364429,1769950.87368376,1955374965.13903
1940667836.83792,1900950272.94198,2406573147.88918,137021605424833,17417813.6915075,1499800.29851491,1955374965.13903
1930163250.96073,1905407750.13091,2526801113.43933,150413872058017,56075252.7475183,2650064.32187271,1955374965.13903
1933770860.62883,1885091568.65919,2396410205.51804,156160071937539,32857896.7466469,2108543.26945858,1955374965.13903
1951564741.8707,1900389052.98157,2411585602.1849,161391936255870,23667707.1861367,2095440.33406021,1955374965.13903
1938672412.888,1924230377.86619,2455817784.40201,156659308167163,37289074.6822132,1512126.83572594,1955374965.13903
1931551325.30691,1900857048.71827,2494208048.32471,197144399261258,27552105.369245,2747935.47017589,1955374965.13903
1947290275.15962,1951788215.88676,2549371779.81302,165314618096993,20973208.6376941,1544667.17060563,1955374965.13903
1941188134.38521,1918626550.92866,2443384364.24536,144300539064256,18154028.8821172,1508008.7874492,1955374965.13903
1937791754.97845,1911708502.50652,2506550399.38109,127700474405188,24218720.9382492,1213772.93645219,1955374965.13903
1997146951.34888,1928412131.8217,2485602224.56522,122671615876980,34062966.1944252,1053040.33756145,1955374965.13903
1955001207.55076,1940118857.6138,2452592701.94954,199004636786401,11148870.474519,1938079.55062584,1955374965.13903
1932633320.99468,1900104020.42301,2444509055.57321,172307830425211,31223944.038528,2329128.7430213,1955374965.13903
1968724035.75983,1919609915.24186,2468550104.2736,180082479526398,63493157.1825144,2510601.69612949,1955374965.13903
1985751572.39849,1964880829.15098,2503829494.66137,190135671796667,27330937.1995433,1778460.67555988,1955374965.13903
1928005060.77992,1906862764.32673,2423299298.00514,143096321344684,17639576.474348,1693321.75101247,1955374965.13903
1970189461.76118,1930053350.69567,2461158445.77204,129030038963503,22228630.9401712,1353343.018525,1955374965.13903
1980471544.58402,1956132909.34606,2563928648.06361,201367013119932,30027403.4016923,2137306.61470654,1955374965.13903
1947304119.91691,1902465736.63329,2555079984.2057,121114010075547,51319048.7061969,1356172.41163412,1955374965.13903
