k,True amount,EI_ajr,EI_cl,msep_ajr,msep_cl,mean_crps,reserve_aj,reserve_cl
4,616132670,-0.00285715222470306,0.0157494754972063,1811657.38226912,1426513.64807428,15600.7903517408,11204628.1711973,22668779.3891933
5,822595583,-0.0061237727557526,0.0208918342423607,572007.813801122,2039315.89372996,6005.74821912471,7498101.57982218,29721020.568534
6,999600536,-0.00518064084681813,0.0172565685999544,1673103.24014705,1758483.06214039,30517.3380840542,10326824.6326971,32755071.2220353
7,1190911237,-0.0141883414786433,0.014438461815365,1340181.0596205,1994991.45838944,31063.8507855355,6181016.69869041,40272998.4209137
