actual.tot,pred.tot,cl.tot,aj.msep,cl.msep,mcrps
132206382.096461,141867342.223385,167497892.282874,682921.752180427,1435995.49096193,126063.508956012
131390688.37468,130955191.491171,165531373.647196,554219.879125602,2772899.78788634,111595.852913998
129377855.789194,132824092.340848,160438209.859278,461026.188468432,1161187.57943383,68300.6386994792
132158525.344614,136533433.029444,166016051.298193,662581.689741178,3001021.79293647,128210.614843144
128677550.064049,132967817.472871,168453407.562622,608428.245250371,3738350.18316783,106444.552103495
130780714.337263,133362348.337907,162482705.76476,666188.918484466,1788736.17986948,137642.462104726
128918057.375255,134430001.294514,159760680.367869,568127.477515775,2190526.44977646,125753.403984388
131280185.113317,139501109.107792,164672699.359105,570830.021018808,764319.731447628,114828.428791396
130104316.124713,140281821.04489,160772373.478994,779212.855339354,1577847.14574244,135825.938048111
131497553.995114,129760846.791979,163478491.667114,535634.317485068,1990265.08819609,128440.568234216
129244827.525867,134906003.736423,163721185.626801,599470.104947807,2485938.31214755,108724.682933588
127423935.149901,131875600.69266,162008187.777127,636313.579056043,2128014.90910806,119550.426370387
128770088.353794,134726242.117607,166280536.554981,520562.680243616,1836807.02461633,100317.905479766
131116759.144915,135364272.798505,157900737.142523,759582.233532932,1731501.66495369,123753.596665047
129819351.677308,144858637.251305,169958118.654201,636412.781719168,1398213.90917961,108320.584038576
128560161.060157,140405689.49123,165457199.33353,634366.131360337,1762825.81068345,124024.460060359
129412542.292348,139090591.844122,162892290.949691,548985.265857629,1210268.59214116,100120.850314762
129556748.656693,144631307.305052,155365647.737156,739139.586457785,2163292.33613888,110669.089839682
129186116.998563,133923870.955207,167103359.95874,493297.602847455,1614581.39588328,74074.8114031291
128679371.270845,136397594.96449,159576568.797605,657239.032464421,852799.261209762,123538.382122213
