actual.tot,pred.tot,cl.tot,variance,cl.msep,mcrps,true.ultimate
609041719.064014,608367506.792077,673893404.804954,22853841340029.5,544468.927826484,523490.921446709,599047873.194483
601295487.713284,600782939.150872,661262516.124698,20609044963322.9,14400305.6248462,626634.473666489,599047873.194483
594183837.173999,597394908.670692,640672657.953709,22459105093681.7,6409255.4339796,368208.775773251,599047873.194483
597865077.687757,603465913.972216,656850779.998352,23693177040360.4,9392154.08844722,781324.211183912,599047873.194483
594068503.368464,592890103.640401,651064959.224333,18928406605794.5,9602194.09015715,396550.938677209,599047873.194483
595339838.666316,599787173.039425,633400638.817015,25002174984872.8,27166743.6699578,559063.449518349,599047873.194483
591492376.745261,593903600.176947,676306865.243986,19769453540317,5625668.42686213,669856.356277455,599047873.194483
601288520.467761,604544396.983334,677126711.828569,24895340610370.6,2787230.85648283,921857.112633487,599047873.194483
601129659.601042,603583652.511906,679197844.164291,21817922665390.7,4308127.53430147,465296.483007188,599047873.194483
609590575.649815,618128275.983939,691498341.406168,26091696131879.8,2748114.84529563,575368.226955615,599047873.194483
599189841.17519,606022630.989549,646466968.663994,23613928267762.5,6463043.87382202,494647.977059844,599047873.194483
589178815.816531,590761088.256243,658058020.693886,21041482633027.3,4348000.60687102,685792.773754257,599047873.194483
593377359.665082,597892445.801521,661850243.746024,25589953796705.5,4981793.9502256,579053.326160727,599047873.194483
588186752.909264,595654577.415617,668234807.578836,23670873230002.7,24805263.3116803,1014413.25485853,599047873.194483
609914078.825607,615071573.802961,684951237.54091,23401958319157,1043804.89876353,614925.365408273,599047873.194483
590603410.560639,597674906.148685,646481100.455028,22543589081713.6,16357433.5444265,754958.652774393,599047873.194483
598389328.983602,604393187.766208,674587463.638705,22233350635603.4,7503585.44743929,759985.462867333,599047873.194483
600286147.98567,603035443.197374,668287554.347587,27939001692197,1371975.20633244,626883.882905831,599047873.194483
606760950.125823,611650461.040947,682212455.948636,24494157286141.5,21221993.1721184,643568.429051993,599047873.194483
