actual.tot,pred.tot,cl.tot,variance,cl.msep,mcrps,true.ultimate
2709937083.12639,2612061078.80206,3547762409.0292,253350622522496,23782696.8217958,3460234.42546605,2681887151.53733
2668237551.94976,2629122821.79476,3499751755.50712,254879548362493,52070610.001243,4542020.39711569,2681887151.53733
2702221110.71615,2629135439.5286,3478351103.81221,599592459798266,55721421.1208441,6287429.45822449,2681887151.53733
2702624204.29508,2552437128.41932,3375440332.63852,203945666022105,49965361.7096815,3433907.28901325,2681887151.53733
2725085650.57672,2633765433.56785,3472609249.39812,462797124455351,26066919.6813768,7176801.05882424,2681887151.53733
2725261451.22598,2633146644.47591,3538243327.03946,464485888130263,36053678.6268486,4837262.87191644,2681887151.53733
2788307644.19528,2604886290.12882,3590711664.6052,244128702485922,65560632.6631984,3846061.8134284,2681887151.53733
2643234195.1388,2609448508.33269,3584009660.23175,230295552336051,36528477.9871576,4615569.22835959,2681887151.53733
2647197225.00643,2589707835.88654,3372217711.12985,343479928369609,27040463.8780743,3138591.08466398,2681887151.53733
2684101400.09662,2563497493.40818,3557963903.8832,85037165956228.1,40437522.341107,787869.232904277,2681887151.53733
2760597551.23915,2659184636.90537,3601601721.45337,303654089412050,32074212.5961351,4807321.65136153,2681887151.53733
2732878448.40663,2621394629.42747,3484028409.26116,257289500964638,37159797.6349231,2710978.25223819,2681887151.53733
2650371905.96965,2584968123.81599,3511115284.20193,258565095744705,44692416.4208381,4895644.3903429,2681887151.53733
2669488841.05227,2639813593.69676,3542603114.92241,384706590844235,36708796.6536171,7882573.94501077,2681887151.53733
2752582540.672,2594497941.82159,3567831029.62247,135899280285909,20548659.9960032,1573162.30742334,2681887151.53733
2652661120.61509,2605400896.65573,3469501663.12936,423817079543605,33382921.7311066,6539729.73859206,2681887151.53733
2721655487.59804,2618055785.36909,3524373276.40059,272953716587242,28335221.3537773,5571384.84019275,2681887151.53733
2738044212.56856,2647419764.15001,3692863625.58919,280932037762225,60486979.8417325,4806362.90157402,2681887151.53733
2732528779.42473,2598524689.94056,3621357429.18045,231958899119505,47154425.7688118,5064968.86574834,2681887151.53733
