actual.tot,pred.tot,cl.tot,variance,mcrps,true.ultimate
2350028851.97855,2282171469.88083,2972902745.80135,220299141317298,14665100.3035433,2354523046.26031
2366961678.48026,2258240741.72296,2886616953.1703,145991426389666,14712860.0288467,2354523046.26031
2305707132.32478,2239013029.06841,2962308341.19323,250845524485282,32359958.5018468,2354523046.26031
2314671773.77724,2253779852.60079,2911822394.64081,239588657564695,25892560.8244512,2354523046.26031
2366518476.27149,2292681215.48568,2927890387.21653,393310121593753,14450578.1149174,2354523046.26031
2351579508.69422,2248333839.12724,2949312229.94301,184229147707696,23976988.1222406,2354523046.26031
2324904920.24895,2261570937.23608,3014189810.57869,234684275909742,18501052.9646228,2354523046.26031
2330868855.41691,2274357725.15299,3044981872.11363,246462095545307,18586725.2297658,2354523046.26031
2376506345.44176,2312877956.08651,2892919334.5458,491428278350638,19174608.603966,2354523046.26031
2361353640.74325,2276144187.13607,2964618290.19439,269730836946572,29894924.7059586,2354523046.26031
2445735464.33054,2317280603.65335,2955835322.04777,193344970580884,20623612.1020187,2354523046.26031
2362508091.4339,2260815809.98712,2982429078.45687,270391350825077,19682983.476298,2354523046.26031
2336976370.9013,2273585428.14002,2958857905.86185,310730321785048,23446947.7623857,2354523046.26031
2375502719.25453,2296085324.85948,3027775677.62907,317092872353469,30566720.6669999,2354523046.26031
2390770350.1423,2264869429.73476,2943210983.93529,142980146510415,13348992.5750308,2354523046.26031
2332672770.72206,2252355607.16284,2921362709.60208,290783533971054,16305563.4493245,2354523046.26031
2360400265.34706,2258878264.14896,2960598475.88524,212259596475141,19940360.4581428,2354523046.26031
2411241588.23007,2330278525.75361,3083375655.10612,411914513885703,27349393.7007989,2354523046.26031
2358965333.69648,2281480125.53216,2992372450.91578,452804841544500,26346132.4733773,2354523046.26031
