actualtot,pred.tot,cl.tot,variance,crps
2350028851.97855,2336944387.22549,2972902745.80135,492443039971123,3727055.26341516
2366961678.48026,2331873287.83486,2886616953.1703,638164679642150,3915800.77020392
2305707132.32478,2286429023.00773,2962308341.19323,466515839327748,3842982.77853874
2314671773.77724,2306743612.57342,2911822394.64081,504664057440648,4153127.15122493
2366518476.27149,2324601376.79226,2927890387.21653,518498566851316,2874186.31758152
2351579508.69422,2287708655.96483,2949312229.94302,345896458830593,2598625.3119507
2324904920.24895,2319900096.86299,3014189810.57869,556783941926500,4326645.10671243
2330868855.41691,2303392043.46973,3044981872.11363,383465861518080,2949938.79108737
2376506345.44176,2324772964.82571,2892919334.5458,584286654461495,3838877.23046907
2361353640.74325,2296579197.93028,2964618290.19439,347139522243620,2289312.71352146
2445735464.33054,2428350695.53281,2955835322.04777,994938984050861,5506720.10570896
2362508091.4339,2297510358.50665,2982429078.45687,431794221162681,3646505.57635723
2336976370.9013,2331056244.11259,2958857905.86185,614497705791728,4510372.03273338
2375502719.25453,2358575894.12069,3027775677.62907,653291258304262,5197250.12465632
2390770350.1423,2333016829.37565,2943210983.93529,484726080529054,3226035.78939316
2332672770.72206,2287415597.84255,2921362709.60208,449480614081876,3755258.60055336
2360400265.34706,2305919028.76451,2960598475.88524,435117885701416,3057959.7684107
2411241588.23007,2376679434.2245,3083375655.10612,699682556936045,4501930.65956198
2358965333.69648,2302671667.14445,2992372450.91579,465922905221061,3282963.00639157
