actual.tot,pred.tot,cl.tot,hirem.tot,aj.msep,hirem.msep,cl.msep,mcrps,crps.hirem
95822050.8227064,97085248.4897138,114308388.262757,103402501.18096,821428.668455607,732358.476528395,508508.922876862,22941.3722903951,43449.447263468
95383909.3759725,96411364.5980037,115236370.626128,101952681.434891,802778.79567866,658897.100750344,332504.22153078,23290.9769623282,36680.3777622132
93986524.2327714,94441742.0343608,111516799.580884,100023909.916321,752907.474622879,696836.163060303,893874.800266052,24080.7559920895,46609.5332272162
96322698.3329502,97832347.4060204,116091677.296926,102147347.917723,961519.811006498,622648.191210037,890515.120202702,23291.7567988766,38126.1808933852
93410230.3479086,96421330.3859657,110898933.464671,99145888.8449256,1025245.58002533,665986.358329504,496870.070798203,20954.3278955224,27340.4580659989
94958853.7855355,95737519.3979714,111939688.123255,100584886.635064,863516.345361618,635368.345357714,1591453.3522274,24100.0132997199,31318.2689472729
93791624.4033212,94816208.2133734,111517436.2505,102651839.304382,824653.366294757,726600.268369869,552680.278801052,24845.9932731792,36505.5146823137
94837361.7240144,95906258.9948617,111431728.458793,100948110.379264,736215.005127348,620681.036871994,166413.067497362,20363.4905914487,26565.7951349707
94388675.3702379,93521671.1751731,109992587.276211,97437701.4673405,586317.981793226,554784.517587,1697655.31436689,23883.1678791936,46618.3067920742
94279720.6095995,95861832.7382656,111421937.573921,99989984.2865539,946014.693611056,563001.85552183,1319568.06506906,23724.2304587097,33740.2180104226
94353031.7800981,96509053.8625491,112873581.40472,102653387.272011,993464.232084396,849058.062928473,1875098.55279905,23275.9962293725,42964.6390065131
93653813.0982934,94185562.9473718,110381469.541137,100753068.943245,773965.192468615,698860.485858292,1717102.87924417,23722.3162132059,44975.0140427245
93544189.7393684,94295668.7437833,118540702.800023,101989050.135178,717171.284215791,605071.229820211,1404199.65516341,23858.4080658857,38455.4699007102
95601674.4414224,97410738.3805426,111009604.842557,100584404.240015,890910.729237552,643940.547817819,776594.560375631,24817.4236254511,46755.114632264
95059281.5831884,96749954.6079728,115382616.177183,104051347.25576,869741.743191582,706159.619601744,507258.426401418,23548.6252883908,37121.0815047013
94108489.7785041,93705881.855704,112831870.510034,101143151.665599,579636.166712714,653538.721043713,927918.658989308,23806.3313085732,37378.5401119956
93848173.6156851,94450884.4513606,113432428.595065,102485284.116317,758157.745197576,701503.627209753,374217.358144273,23218.9662249032,46487.8428773544
93690760.5271069,95751638.5709548,107424269.640505,100085776.521177,1008743.06790461,707376.24698959,688895.825805038,26000.7151101302,51995.0139476399
96714886.5179401,96536727.7723184,114602314.154791,104493405.478061,809724.419827199,756399.972734257,613395.108000413,26255.6504969416,42985.9464749356
93847048.0397915,95616013.8111134,110728792.273338,99968063.5312171,897973.844090519,654540.826749691,532968.158035794,23585.6480226344,42209.0830073797
