actual.tot,pred.tot,cl.tot,aj.msep,cl.msep,mcrps
159408063.713317,163257707.317252,208691906.413483,514528.531980407,1398982.16598797,115316.799797986
159410112.301908,156451287.103557,212152603.995237,414001.066822572,1562870.98295701,114008.944771218
156955150.114692,163113250.28807,205867750.323948,556741.011372713,3062977.05889667,115667.170134077
159743809.171932,161088321.06729,206561962.315716,453477.238749299,1495276.54193071,113246.992673318
158954182.983303,163951978.715881,204608888.459541,560763.527412879,3277730.65416729,133630.686939591
157372784.774645,160600902.405235,204581651.003899,550142.456763492,2301684.45624364,223300.561186538
158977894.370299,163353280.899095,198555313.684619,642585.093895745,2939138.92409889,160122.71175086
157917483.809703,158913878.349502,203904079.679208,446007.150439641,1602152.60919543,108794.578034692
160299155.916278,166065368.672221,204271132.317536,673568.197249592,1533348.2165516,195229.779538854
159213700.663413,163953672.266372,203553734.771155,588665.820816868,3079297.0261696,133773.297782317
160309497.13094,164847445.406595,208131960.414086,639370.051815669,2120804.62510873,159696.768697513
156335989.040306,161734108.995937,206155927.873549,523516.383451717,1698705.78966824,114177.625477413
164018096.71737,162081295.98883,211218333.212071,500799.237671907,3856507.80371754,106422.654278595
158477599.611671,159830471.850923,203634789.9914,585508.185938956,2377688.71641642,160376.536466111
155484364.41993,165465832.454876,210824097.660691,619879.771863539,2148733.99924457,126216.398611118
158298700.35832,163851691.233752,205803352.377829,525237.150952741,2272607.16864865,107975.749044365
155717483.823908,164393010.5727,198365747.71352,584476.618826504,1590615.52223969,120245.541358012
155467209.747024,155959090.889765,197210811.514155,459040.92427532,2836512.97963479,97027.8156623419
157888317.652743,160850419.716006,209291994.346071,488771.69443925,2378677.78477097,83359.6624254744
157535631.201174,161898334.696545,204548551.35013,573813.175758264,1513336.17384213,135928.353225283
