actual.tot,pred.tot,cl.tot,aj.msep,cl.msep,mcrps
43046092.6771166,42908470.7599664,47607331.9016694,333806.344049479,24928.4349971867,11925.2145581672
42531517.2468048,42812813.8419119,48367786.4965678,339029.429254358,638930.588670121,10561.5133913311
42511389.434976,42400765.0072666,46890642.7194853,316763.747263183,799906.897582969,11928.4672320129
42499402.0228658,42369575.9551689,46602236.7084334,328824.411729648,336341.433081206,11710.8653655581
41848217.3883583,41896537.3783015,44905764.8946291,324539.784463201,304638.671465597,10716.1491306267
42565943.8341616,42734208.6119532,48228191.5983373,334566.605182467,734142.962988649,11598.3084546702
41860673.8627754,42502754.5299762,45736777.4129366,376510.411203046,502266.212527191,11074.5788340333
43016777.0293089,43500329.3894666,46670878.9038271,349817.509495907,153317.218217236,10768.7621887854
41488214.8791145,41408005.0519228,45489254.3707278,293179.418725173,382398.795554414,10884.8927480205
42360533.3809317,43035403.3589506,46607702.7641556,360358.819968369,125147.402999295,9938.88899499226
41872679.9265678,41992102.0965871,44439147.7300708,366510.903114519,1232412.08475995,10366.3185584514
42374391.7886624,42641174.9562979,44648345.43499,359007.247167321,348191.546207576,12033.1939010562
41976921.5959482,42412440.0550266,48371859.404243,330191.849529794,169720.024456263,11658.6433807982
42605562.3633903,42904653.5085072,46298082.1007274,344088.305666189,322801.888142984,10832.8440353573
41925397.0912343,42619830.1094848,47151097.2784576,416085.484296937,95563.5973505649,11546.911912792
42393873.3230475,42700889.2018599,46333788.3759751,337053.800564557,326317.827793904,11451.097092327
42367517.3858,42432147.0047272,48137682.9253165,321587.922186395,189761.084299874,11520.7499727116
41429032.2817173,41871286.947168,46251018.9126024,327501.969203529,261238.368547086,10200.5618897758
42963794.2759562,43437626.969305,48492437.91214,367800.36574986,27458.4879977594,11040.9144112847
41949760.2587114,42329728.9244213,45830422.8635822,332016.295355683,291689.567312414,10403.9779806975
