actual.tot,pred.tot,cl.tot,variance,cl.msep,mcrps
95822050.8227064,95420736.5074003,114308388.262757,422146245934.848,508508.922876862,23610.26063477
95383909.3759725,95245209.2521484,115236370.626128,426440419050.017,332504.22153078,23897.2312243053
93986524.2327714,93403170.696467,111516799.580884,399587303524.851,893874.800266052,24564.1773918432
96322698.3329502,95579866.5266938,116091677.296926,411822085080.919,890515.120202702,23634.5432260941
93410230.3479086,93907935.8886694,110898933.464671,503428791149.469,496870.070798203,21308.4560029323
94958853.7855355,94688084.3968875,111939688.123255,518505790450.692,1591453.3522274,24330.9227826021
93791624.4033212,93236325.5896429,111517436.2505,414098928710.729,552680.278801052,25389.8792444422
94837361.7240144,94712097.4938398,111431728.458793,349063551800.475,166413.067497362,20865.0554447549
94388675.3702379,87614520.8218036,109992587.276211,7950943.4486856,1697655.31436689,46577.6036396824
94279720.6095995,93805144.3180213,111421937.573921,413196426349.815,1319568.06506906,24258.28132314
94353031.7800981,94675840.0114979,112873581.40472,575456031899.141,1875098.55279905,23701.5428251569
93653813.0982934,93526855.3071625,110381469.541137,455769265510.851,1717102.87924417,23816.4412770133
93544189.7393684,93404762.6348718,118540702.800023,383996390647.973,1404199.65516341,24207.2062249696
95601674.4414224,95143434.299388,111009604.842557,393904742452.81,776594.560375631,25119.0393193729
95059281.5831884,94705683.9582823,115382616.177183,442131957664.995,507258.426401418,23962.6438936265
94108489.7785041,94465467.9016965,112831870.510034,468177179059.5,927918.658989308,23871.6877617854
93848173.6156851,93592805.655522,113432428.595065,412620043760.123,374217.358144273,23441.3124869136
93690760.5271069,93466532.5393196,107424269.640505,506733887340.303,688895.825805038,26372.2777168216
96714886.5179401,95256172.9452778,114602314.154791,462294902010.172,613395.108000413,27267.2576079777
93847048.0397915,93747886.9560824,110728792.273338,428823251604.415,532968.158035794,23762.7034325782
