k,True amount,EI_ajr,EI_cl,msep_ajr,msep_cl,mean_crps
4,616132670,-0.00285715222470306,0.0157494754972063,249318.24625794,2266847.90661729,149057.195676136
5,822595583,-0.0061237727557526,0.0208918342423607,170979.696632033,3397289.64526775,40086.3928517203
6,999600536,-0.00518064084681813,0.0172565685999544,295499.368834494,2892349.13371108,93389.3128830594
7,1190911237,-0.0141883414786433,0.014438461815365,98271.8610968688,3045480.04891136,8114.67314237585
8,1415609335,-0.0272315154062058,0.0150371807524026,251.625366301842,2256463.61516027,0.990630518880329
