actual.tot,pred.tot,cl.tot,aj.msep,cl.msep,mcrps
159408063.713317,155389918.857868,208691906.413483,877625.334649911,1398982.16598797,21329.6805203095
159410112.301908,154080311.137032,212152603.995237,790763.151464478,1562870.98295701,22043.4592289156
156955150.114692,159123876.817337,205867750.323948,1200864.71915303,3062977.05889667,22328.6179476869
159743809.171932,155693142.594244,206561962.315716,824930.989241323,1495276.54193071,22504.4932678685
158954182.983303,155343409.388112,204608888.459541,975391.335525305,3277730.65416729,26010.8387445506
157372784.774645,156428626.741825,204581651.003899,1050418.6644476,2301684.45624364,24964.9575059104
158977894.370299,155444142.816176,198555313.684619,1270808.14618379,2939138.92409889,27899.340491626
157917483.809703,154346324.838833,203904079.679208,833782.157027319,1602152.60919543,22024.1208318142
160299155.916278,157094065.837976,204271132.317536,1204465.35384117,1533348.2165516,28688.0706633513
159213700.663413,155693068.787398,203553734.771155,980599.967938966,3079297.0261696,23602.1588973004
160309497.13094,157201322.891904,208131960.414086,1121889.58018812,2120804.62510873,25653.7585631263
156335989.040306,154348524.144571,206155927.873549,955988.817411898,1698705.78966824,22295.2129334191
164018096.71737,154654129.291174,211218333.212071,879471.961761175,3856507.80371754,22581.2219070885
158477599.611671,153599960.376908,203634789.9914,931281.518165924,2377688.71641642,24387.7856192683
155484364.41993,155685718.942119,210824097.660691,981661.101974892,2148733.99924457,20408.9875875571
158298700.35832,155348938.23405,205803352.377829,953618.039630539,2272607.16864865,24170.075569993
155717483.823908,156722281.111948,198365747.71352,1196727.24619572,1590615.52223969,22036.6454104234
155467209.747024,152543294.906872,197210811.514155,907790.697068512,2836512.97963479,23290.5174571345
157888317.652743,154760988.752025,209291994.346071,905987.454387706,2378677.78477097,23062.1954327683
157535631.201174,156849288.117387,204548551.35013,1119623.10100081,1513336.17384213,23668.3789576262
