actual.tot,pred.tot,cl.tot,aj.msep,cl.msep,mcrps
117995036.36156,114020526.095119,149397852.602408,856813.141425672,747871.442533745,30990.815335641
115416253.08017,112012994.049453,145384932.263639,700418.694879205,817156.033597362,27858.7525464365
116161435.288485,111870563.498774,143438395.028224,654974.788822616,740742.060348869,27319.2871962356
117829272.871818,114130918.676493,148194297.489267,740333.915104097,1092594.34345568,32468.1502117102
114484208.488134,111532271.265091,148630969.628172,667557.649264219,1659861.12235878,29294.1483327829
117156188.782247,113527193.48323,145920455.58077,1152569.21130722,1367436.51153391,33382.2579945872
114540577.219257,110638557.301561,144535355.019379,723646.973711979,1348144.41822193,31924.6893531354
116758432.919819,113162563.964281,147313336.300969,715995.7633251,779980.028405952,31501.0077797829
116482477.902198,113632493.36826,144139524.146064,1115505.37027982,820969.493194395,34564.0651636909
115229105.628752,111618281.232122,145245444.876362,713006.970260386,1393691.67340919,28273.0538483718
116558536.969274,111169232.69955,145939767.704522,640765.078915894,1250094.91334504,28909.8192538292
113935510.942638,110711173.657024,146216445.081278,773353.220331914,1042709.38085697,28914.7769427362
113576431.030727,109620532.808619,147658142.692042,625408.830938799,1198685.43891856,30065.1358265884
117752518.363002,113188806.608765,143214630.441899,773717.064254859,1246819.80168554,29661.0531583779
114068564.782103,113096523.005764,147568387.31829,825213.605524415,1329757.38714947,24326.0657728934
117104994.752169,114090221.332969,149353749.909264,771148.439463115,960796.592740239,30279.9513928764
118163945.085927,112674345.396587,143962884.466924,704040.380784251,1329250.19724732,30695.4632703102
116087083.698742,110674094.542747,138271633.041118,606593.737335359,1274684.44908489,29734.8835454985
115867210.195126,111389824.51048,146119733.134638,594984.558476724,1261869.63226374,26244.9411088551
115463753.380602,111930589.900494,142455805.675445,712114.61741483,536519.314691812,30234.6502208474
