k,True amount,EI_ajr,EI_cl,msep_ajr,msep_cl,mean_crps,reserve_aj,reserve_cl
4,999600536,-0.0040220185865073,0.0172565685999544,2038486.35034545,1758483.06214039,30100.2847618574,11484984.0651253,32755071.2220353
5,999600536,-0.0051853055133767,0.0172565685999544,1836555.05913421,1758483.06214039,30925.5732729285,10322161.8295048,32755071.2220353
6,999600536,-0.00587677324620572,0.0172565685999544,1681494.8506101,1758483.06214039,30557.3575939557,9630970.3131423,32755071.2220353
