actual.tot,pred.tot,cl.tot,variance,cl.msep,mcrps,true.ultimate
458140301.695713,429946601.145427,497528143.898032,11114227428565.3,1238040.04213354,105731.395583635,457054564.395038
459123792.221791,425077640.860267,488400805.167291,10236406493715.6,3113597.06565702,73256.1204390727,457054564.395038
455086845.01736,420563785.632972,489178362.878888,9466574387211.63,2434808.91067687,70940.667314998,457054564.395038
448146412.811388,362548408.255848,468690600.732908,6000984470.58421,10405158.3743526,4099.54928568486,457054564.395038
450104569.570847,422255846.925136,484952547.472153,12272862386055.7,6018865.2731579,103842.628218081,457054564.395038
459111335.434886,428696886.090503,482125672.806982,12709477137006.4,8008076.76282589,99432.3615144312,457054564.395038
452176033.487668,420117413.770118,512991509.487059,10377204717393.3,7489556.79382241,83276.9365811121,457054564.395038
460731530.897831,430523835.359298,513508840.270743,12523652747174,2309424.86163868,96949.9047711363,457054564.395038
455692328.635435,366337018.537693,497437566.893001,2379035843.33851,1773357.57507773,2376.02833011147,457054564.395038
459075662.376931,372128122.619878,505759235.941459,11564770750.0639,4039833.97356933,5621.42496851945,457054564.395038
460905627.6041,439188004.089403,468692084.058021,19538208235152,4176996.61981723,301274.641064453,457054564.395038
459296475.81241,434836623.192014,494117733.883015,15600314166688.2,7503203.78115828,134881.815625405,457054564.395038
454180169.83499,419538652.259177,505540107.063081,11045320271607.3,4598228.3855137,102017.126969781,457054564.395038
455858567.12194,425438850.115278,497476179.050462,12637369682628.6,19103633.9179107,104318.730798763,457054564.395038
468554330.026731,438326986.423109,509877263.860902,13274565320176.9,7378625.14478518,104715.039700865,457054564.395038
448540393.780035,422683349.594017,477322797.312695,10612037194667.2,7033339.93201947,84140.4150748477,457054564.395038
460313066.076885,432004725.408165,496710545.11229,11464296934260.7,6410917.18070222,77880.7105761867,457054564.395038
459537486.346031,429402917.450259,498505826.601106,12157706778664,4386677.25404393,91901.4033684848,457054564.395038
453601248.930662,422698959.811864,498071512.027465,11234515166805.2,5779909.31645536,86662.9760432052,457054564.395038
