actual.tot,pred.tot,cl.tot,variance,cl.msep,mcrps
43046092.6771166,42938886.5293193,47607331.9016694,114867214130.177,24928.4349971867,11945.7667685854
42531517.2468048,42793406.5150754,48367786.4965678,114991961022.642,638930.588670121,10631.4941660348
42511389.434976,42401666.5940246,46890642.7194853,102769909071.228,799906.897582969,12061.3253891879
42499402.0228658,42457485.2413857,46602236.7084334,112640681954.95,336341.433081206,11729.3886664127
41848217.3883583,41932119.4531259,44905764.8946291,111370869620.648,304638.671465597,10752.442530824
42565943.8341616,42766658.4127128,48228191.5983373,118281285903.718,734142.962988649,11866.6924253699
41860673.8627754,42185093.812441,45736777.4129366,120661651384.796,502266.212527191,11248.4342676682
43016777.0293089,43301333.0266452,46670878.9038271,108831825593.104,153317.218217236,10909.2125059096
41488214.8791145,41493847.8894702,45489254.3707278,93657634514.3228,382398.795554414,10949.9476184585
42360533.3809317,42881574.1836601,46607702.7641556,112391490496.809,125147.402999295,9931.90449289209
41872679.9265678,42009322.916662,44439147.7300708,124340123034.932,1232412.08475995,10575.9386964202
42374391.7886624,42627837.1987975,44648345.43499,126531596629.849,348191.546207576,12120.3027631532
41976921.5959482,42313887.5611036,48371859.404243,102246254425.479,169720.024456263,11693.7160229761
42605562.3633903,42774338.2551735,46298082.1007274,110163727497.836,322801.888142984,10820.3543180722
41925397.0912343,42167906.9376045,47151097.2784576,122905605689.662,95563.5973505649,11552.2558236092
42393873.3230475,42824412.7148823,46333788.3759751,121997611100.016,326317.827793904,11441.4424395524
42367517.3858,42491245.2292348,48137682.9253165,106182026437.678,189761.084299874,11634.0158834563
41429032.2817173,41909687.6992752,46251018.9126024,112524147450.2,261238.368547086,10316.3932291792
42963794.2759562,43423976.896943,48492437.91214,131730035767.788,27458.4879977594,11063.1375447386
41949760.2587114,42259492.9517877,45830422.8635822,107477168694.829,291689.567312414,10611.8457401969
