actual.tot,pred.tot,cl.tot,variance,cl.msep,mcrps
110522371.03045,108887442.61446,139413514.302442,547604594909.179,439314.730597565,28861.8369750956
108705471.402841,106688872.121736,138943205.79556,440656064850.085,1346755.26038427,28324.2415823108
108077117.001994,105551299.249639,134558862.865436,418479508251.542,685419.340229408,29385.6653783602
110868078.231515,109011378.669078,139465105.193763,619702649545.005,1732219.20828491,30161.6809936419
107364512.128919,105591533.262099,137974621.721882,414996195062.814,1404881.10395511,28302.695506443
109247120.396112,108807247.662838,134763152.379518,881049667789.911,1618428.15073383,29425.0279288029
108033991.521412,104801946.929113,132955445.948481,517039676287.423,1594944.0389663,34365.9289151636
110145299.52362,108511402.483979,136480432.973963,501947032547.981,598469.178469917,28057.459631912
107344689.68112,104652917.601575,133556719.660061,495785622579.695,1237154.78420726,31464.8368316754
108958159.710322,106487384.858777,134885712.656367,577395663221.397,1449510.98919639,32316.4049644243
106962833.402183,106567855.588286,137173343.801315,504202349121.259,1513265.39373865,24864.1706736383
106733716.066007,105291247.377589,134917280.901474,550047942169.981,1265488.72662666,29418.8778557785
107174011.308107,105987618.315183,138518593.497765,695152350950.21,1267094.17967295,30658.9712285362
109679334.147079,107571032.957649,131149479.79125,494852793278.354,1022510.14197556,28973.8392168006
108746671.144017,108350991.513938,140134087.879983,553971089419.749,1130802.17785172,25173.7730898704
108200403.850977,107776245.971197,140101438.482865,486437593483.147,918785.138258093,24585.0644114917
107799039.92941,106100697.943442,136214985.766908,457981485504.927,854709.950503754,28530.248407593
107220559.870957,105148095.480838,128941581.09866,632522898910.718,1427353.1835882,31488.8268430847
108656930.639089,107002468.018682,140124011.397763,431610584904.728,803946.900379586,26713.5232713719
108013327.635939,105650464.001628,133619157.44513,383697167780.07,596010.133330843,27459.1587618299
