k,True amount,EI_ajr,EI_cl,msep_ajr,msep_cl,mean_crps
4,1415609335,-0.0172345995175316,0.0150371807524026,847445.956035857,2256463.61516027,3410819.33064324
5,1415609335,0.0131132656067399,0.0150371807524026,2300087.05953669,2256463.61516027,13512886.7321671
6,1415609335,0.0446095233229626,0.0150371807524026,2490231.03959097,2256463.61516027,22865277.3339667
7,1415609335,0.086273652848704,0.0150371807524026,2534147.09478017,2256463.61516027,28032037.1983494
8,1415609335,0.119293741269918,0.0150371807524026,385968.175687271,2256463.61516027,3436516.33074207
