k,True amount,EI_ajr,EI_cl,msep_ajr,msep_cl,mean_crps
4,616132670,-0.00354121086346837,0.0157494754972063,115634.193237944,2266847.90661729,89882.6498761035
5,822595583,-0.00643577794504047,0.0208918342423607,184968.532478264,3397289.64526775,789207.758154709
6,999600536,-0.00587677324620572,0.0172565685999544,196365.650604036,2892349.13371108,915157.873954241
7,1190911237,-0.0146495918134886,0.014438461815365,35984.1160038127,3045480.04891136,8923.96624845043
8,1415609335,-0.0244948974514424,0.0150371807524026,487543.928018086,2256463.61516027,1710010.09232121
