actual.tot,pred.tot,cl.tot,aj.msep,cl.msep,mcrps
46849363.0049241,48755858.3004877,51837954.2157657,291035.391925889,41882.2252174218,44166.0290104065
46222876.8590486,46909939.626176,52808005.2354396,261820.885558745,1094420.82406088,62813.8264550725
46253499.054868,51429227.8786473,50866347.3942075,289844.741820976,1107715.81729586,42294.2551809581
46516087.125901,47955694.1538692,51430271.3053777,255998.294904219,624299.80680848,41665.7791014673
45706449.0133845,53655556.1725496,49282512.1502853,417605.220800853,493019.648767667,47241.4835591055
46473306.6523843,47402569.2352519,52661423.7146662,234515.235109152,965214.805165858,34151.7663443852
45989621.3605967,48744606.1222844,50526983.0767963,320874.931488337,722473.391419017,57162.6090227055
46751342.6538313,47119008.5572966,50814565.9133885,204820.506701282,251228.549700045,38939.8594786658
45697577.1821896,46407106.8603996,50081919.9403333,232115.997410278,738630.314627478,36060.5660283718
46309843.7934385,51488392.7602125,50659035.899386,299235.174334544,153928.264557215,38941.45725196
45795372.2051012,49760321.5855979,48723126.0628473,427144.446841791,2089749.51307369,66677.5240931569
46469162.3007082,48174434.3314185,48868997.3994023,296479.582328702,728893.469796061,54212.79711907
45499413.5957893,46774747.636226,52023605.0187681,233694.160390097,432743.725143241,38830.1442638969
46489990.7127466,51251042.2618728,49790974.2106948,347680.373800965,452162.605601964,59375.4122819803
46252963.1129047,51408939.1562782,52086670.1406592,355229.809566902,214402.373575608,59117.8905767469
46301902.6549019,50597512.8061014,50170648.4761375,320707.776987617,666675.181450727,47031.0119926228
46240743.046234,49043293.1583809,52245988.0126378,298127.899787276,331394.425715498,45937.8345480489
44915252.3058727,46477609.5499003,50463081.0357807,287839.07705097,397129.226259598,59774.8216082129
46891582.7422934,49613460.2686983,53192180.1081668,307742.700670003,211393.449638131,47735.6886821784
45586312.4826128,47428271.9292269,49599104.8746659,265782.490480022,211230.983336692,39651.9515182581
