actual.tot,pred.tot,cl.tot,aj.msep,cl.msep,mcrps
132206382.096461,134659048.283532,167497892.282874,1347182.32319371,1435995.49096193,25235.3898229133
131390688.37468,132621686.269287,165531373.647196,1115447.71352214,2772899.78788634,25494.3540537737
129377855.789194,128977694.127825,160438209.859278,916454.672118686,1161187.57943383,23937.1017245994
132158525.344614,134402448.578988,166016051.298193,1192217.26562973,3001021.79293647,25767.4923249536
128677550.064049,129051537.207353,168453407.562622,975396.867987105,3738350.18316783,25233.610009155
130780714.337263,132105358.230473,162482705.76476,1117681.80592352,1788736.17986948,26122.4844765239
128918057.375255,128003833.52341,159760680.367869,1009595.42001568,2190526.44977646,28799.9626316541
131280185.113317,132989805.692263,164672699.359105,1055022.87798685,764319.731447628,25563.642991352
130104316.124713,135726911.069921,160772373.478994,1800971.89647936,1577847.14574244,26894.8437122406
131497553.995114,131346355.019349,163478491.667114,1187087.102264,1990265.08819609,28416.1987286567
129244827.525867,130748153.597239,163721185.626801,1015433.48920324,2485938.31214755,22886.8740965726
127423935.149901,129894165.663814,162008187.777127,1210128.12339783,2128014.90910806,26047.1967670461
128770088.353794,127532942.480972,166280536.554981,925504.337809936,1836807.02461633,25826.9454127736
131116759.144915,132434203.103704,157900737.142523,1131985.53066183,1731501.66495369,26038.6796529484
129819351.677308,134315712.238987,169958118.654201,1164529.97932626,1398213.90917961,21972.7948542633
128560161.060157,134648420.825769,165457199.33353,1407970.50626826,1762825.81068345,22554.888123297
129412542.292348,131504156.699445,162892290.949691,1091811.96075239,1210268.59214116,23877.6830278086
129556748.656693,132054668.316204,155365647.737156,1238738.80813082,2163292.33613888,26980.3620463382
129186116.998563,129493716.890842,167103359.95874,921701.989764706,1614581.39588328,23104.0441979396
128679371.270845,130098797.294034,159576568.797605,1071179.72785583,852799.261209762,24251.1476479508
