k,True amount,EI_ajr,EI_cl,msep_ajr,msep_cl,mean_crps,reserve_aj,reserve_cl
4,616132670,-0.00354121086346837,0.0157494754972063,1805428.23730841,1426513.64807428,13681.4384061122,10783157.2956582,22668779.3891933
5,822595583,-0.00643577794504047,0.0208918342423607,620296.276200866,2039315.89372996,13066.7592579501,7241447.48924088,29721020.568534
6,999600536,-0.00587677324620572,0.0172565685999544,1681494.8506101,1758483.06214039,30557.3575939557,9630970.3131423,32755071.2220353
7,1190911237,-0.0146495918134886,0.014438461815365,1338068.3330814,1994991.45838944,30995.8145401779,5631708.49185324,40272998.4209137
